id,name,category,price,rating,country,created_date,rooms_available,reviews_count,rejection_reason
1,,Budget,231.92,3.2,USA,2023-06-30,,1791,Missing name
4,"Wood, Smith and Rogers",Business,1418.01,99.0,JAPAN,2024-07-29,444.0,827,Invalid rating
22,Vasquez PLC,Business,1873.4,,USA,2024-04-02,110.0,4144,Invalid rating
26,Johnson PLC,Boutique,,4.5,FRANCE,2025-08-09,299.0,4526,Invalid price
62,,Business,80.95,3.7,USA,2023-04-22,,2207,Missing name
66,Andrews-Zamora,Resort,984.88,,USA,2023-06-29,160.0,4512,Invalid rating
74,"Cox, Boone and Bartlett",Budget,1809.75,99.0,JAPAN,2025-01-21,126.0,4351,Invalid rating
76,,Business,341.21,2.4,USA,2024-10-31,354.0,2048,Missing name
82,"Robinson, Ryan and Fernandez",Resort,,2.8,JAPAN,2026-02-28,482.0,3043,Invalid price
83,"White, Andrews and Harris",,1231.86,3.5,INDIA,2023-07-17,210.0,955,Invalid category
90,Sanchez-Watson,Boutique,,4.5,FRANCE,2025-01-02,16.0,498,Invalid price
97,Adams-West,Business,,4.0,AUSTRALIA,2024-05-15,74.0,4639,Invalid price
99,"Robles, Casey and Sims",Boutique,,2.8,UAE,2023-08-20,140.0,1765,Invalid price
102,"Ramirez, Gomez and Gray",Hostel,,99.0,AUSTRALIA,2023-05-06,364.0,3421,Invalid price; Invalid rating
109,Meyer Ltd,Hostel,1302.87,,INDIA,2026-02-26,313.0,1300,Invalid rating
115,,Hostel,905.07,4.0,INDIA,2024-05-31,495.0,3842,Missing name
120,,Business,324.55,3.4,UAE,2024-05-11,155.0,998,Missing name
123,Grimes-Collins,Budget,529.69,99.0,AUSTRALIA,2023-12-10,54.0,4766,Invalid rating
124,"Tucker, Long and Martin",,1296.31,3.7,INDIA,2023-12-18,33.0,3749,Invalid category
142,Allen-Flores,Resort,637.82,-1.0,FRANCE,2023-03-18,299.0,2890,Invalid rating
143,"Hall, Hays and Smith",Hostel,592.92,99.0,UAE,2023-05-16,188.0,3303,Invalid rating
157,"Savage, Santiago and Clayton",Luxury,,1.4,AUSTRALIA,2023-07-29,279.0,4295,Invalid price
169,Mitchell-Brown,Luxury,,3.5,USA,2026-01-14,305.0,275,Invalid price
178,,Hostel,543.72,3.3,UAE,2023-06-08,118.0,3111,Missing name
182,Maldonado-Chen,,1955.63,,UAE,2024-01-06,55.0,789,Invalid rating; Invalid category
186,Barnes LLC,Hostel,,2.3,GERMANY,2024-06-28,365.0,3262,Invalid price
196,Phillips-Rodriguez,Boutique,1542.21,,INDIA,2024-05-03,409.0,2386,Invalid rating
232,"Reyes, Gardner and Coleman",Budget,1921.87,,UAE,2025-12-11,469.0,2620,Invalid rating
