id,name,category,price,rating,country,created_date,rooms_available,reviews_count
1,,Budget,231.92,3.2,usa,2023-06-30,,1791
2,Nunez-Gill,Hostel,1103.53,3.4,USA,2024-06-20,217.0,2787
3,"Garcia, Riley and Coleman",Luxury,220.53,3.4,USA,2025-12-12,499.0,3100
4,"Wood, Smith and Rogers",Business,1418.01,99.0,Japan,2024-07-29,444.0,827
5,Davis Group,Budget,442.73,4.7,UK,2025-01-07,374.0,2005
6,"Johnson, Perez and Reyes",Hostel,462.64,4.1,USA,2025-03-27,,2584
7,"Chan, Stewart and Terrell",Boutique,649.92,2.6,india,2025-11-18,382.0,4598
8,Fisher PLC,Boutique,462.06,3.0,UK,2024-01-20,79.0,1310
9,Anderson and Sons,Resort,952.06,3.2,USA,2025-10-17,454.0,4398
10,"Matthews, Morales and Smith",Business,923.84,4.5,Japan,2025-09-28,260.0,871
11,"Lloyd, Ramirez and Sandoval",Boutique,766.61,4.8,FRANCE,2024-01-06,251.0,159
12,"Wilkinson, Huber and Cortez",Business,504.52,1.3,india,2024-06-25,273.0,1030
13,Moore-Padilla,Business,1224.99,4.7,Germany,2023-04-22,344.0,3059
14,"Ramos, Young and Williams",Budget,71.44,3.4,USA,2024-04-06,118.0,552
15,Clarke Group,Budget,986.27,3.9,usa,2025-10-31,243.0,3334
16,Hernandez Group,Resort,1731.76,3.6,UK,2026-01-11,410.0,895
17,Young-Johnson,Resort,941.38,1.3,FRANCE,2024-12-19,277.0,120
18,"Flynn, Jennings and Baldwin",Budget,978.28,4.6,France,2026-02-05,136.0,3727
19,Tucker PLC,Boutique,988.74,1.9,USA,2025-10-29,383.0,2569
20,Jackson-Norman,Boutique,1922.73,1.7,usa,2024-06-08,207.0,982
21,"Guzman, Nichols and Nichols",Luxury,855.87,3.1,Japan,2025-11-06,123.0,2175
22,Vasquez PLC,Business,1873.4,,usa,2024-04-02,110.0,4144
23,Rose and Sons,Budget,340.76,3.8,usa,2023-11-18,271.0,64
24,"Miller, Reed and Ortiz",Luxury,294.55,1.4,FRANCE,2025-12-19,108.0,2808
25,Murphy LLC,Resort,1819.07,3.5,Japan,01/09/1976,67.0,2145
26,Johnson PLC,Boutique,,4.5,France,2025-08-09,299.0,4526
27,Mcdonald-Martinez,Luxury,443.85,1.4,FRANCE,2025-05-30,318.0,1266
28,Fields and Sons,Budget,78.83,2.3,UAE,2024-03-22,416.0,2032
29,"Hampton, Gray and Price",Luxury,468.19,2.8,Japan,2024-03-25,115.0,193
30,Mahoney-Trevino,Luxury,579.88,2.6,FRANCE,2023-12-23,,2139
31,Solis-Fox,Luxury,711.0,2.7,FRANCE,2024-04-22,98.0,2086
32,Martin-Howe,Boutique,1882.32,1.8,UAE,2026-02-28,170.0,2571
33,Walker LLC,Boutique,834.53,2.2,France,2023-03-18,195.0,1425
34,Martinez-Valdez,Luxury,444.06,3.4,Australia,2023-03-06,110.0,4187
35,Morales Inc,Budget,589.06,3.5,UK,2026-01-31,345.0,2542
36,Mccoy LLC,luxury,1234.21,2.8,usa,2025-02-03,254.0,3273
37,Dean-Campos,luxury,461.12,3.8,india,2023-10-04,435.0,994
38,"Cisneros, Boone and Franklin",Boutique,1901.58,3.5,FRANCE,2025-09-04,229.0,1303
39,Obrien LLC,Budget,576.3,2.9,Germany,2024-11-18,147.0,1920
40,"Hartman, Smith and Hatfield",Budget,784.58,1.9,UAE,2023-11-30,213.0,510
41,Pruitt-Castro,Boutique,68.48,3.3,india,05/03/1981,386.0,3194
42,Johnson Inc,Hostel,1605.74,3.0,Japan,2024-07-18,,2753
43,"Silva, Lewis and Brock",Resort,1962.02,4.6,usa,2024-11-04,,3511
44,"Hall, Dorsey and Myers",Resort,925.76,4.5,Japan,2023-05-17,130.0,670
45,Simmons-Sandoval,Business,165.18,1.2,USA,2023-06-29,11.0,1248
46,Munoz-Madden,Budget,534.8,3.4,UK,2025-11-02,160.0,885
47,Ryan and Sons,Resort,1438.58,3.8,Germany,2025-10-21,436.0,4918
48,Willis Group,Luxury,873.9,3.0,Australia,08/06/2016,251.0,864
49,"Rhodes, Martin and Sampson",Resort,887.91,4.9,Japan,2023-10-30,397.0,3960
50,Jenkins Inc,Business,1666.54,4.5,Germany,2025-02-22,343.0,3104
51,Anderson-Hensley,Resort,1601.73,4.5,Japan,2024-11-03,98.0,701
52,"Howard, Lewis and Burch",Budget,1302.43,4.2,UK,2025-02-22,125.0,2508
53,Aguilar-Elliott,Business,1499.49,3.8,Japan,2024-06-12,370.0,1577
54,"Sullivan, Collins and Jackson",Hostel,456.28,3.9,FRANCE,2024-12-13,427.0,1590
55,Montgomery and Sons,Hostel,570.39,3.2,France,2025-08-06,53.0,100
56,"Cox, Hurst and Davis",Budget,527.38,1.5,UK,2024-12-06,323.0,439
57,Woodard-Howard,Luxury,263.35,3.4,usa,2024-05-22,231.0,3626
58,Ward LLC,Boutique,1230.97,4.8,Germany,2025-04-07,42.0,1286
59,"Brown, Hernandez and Ford",Resort,1199.81,1.9,Japan,2025-01-30,352.0,1912
60,"Smith, Lopez and Warner",Hostel,419.7,1.9,France,2023-11-04,37.0,488
61,"Harper, Davis and Key",Boutique,895.13,2.2,UAE,2025-01-19,253.0,3586
62,,Business,80.95,3.7,usa,2023-04-22,,2207
